id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
830564708221456002,Rainey ST Authentic & Charming 1BA/1BR DTATX,494390721,Roots,,78701,30.26123,-97.73732,Entire home/apt,160,3,0,,,8,63,0,Austin,78767.0
839207412230863205,"NEW! SXSW! Dog Friendly - Fun Backyard, WFH Setup",503723951,Austin,,78722,30.28113072294676,-97.71853357831432,Entire home/apt,267,2,1,2023-03-15,1.0,1,359,1,Austin,78722.0
845739981489352997,South Austin Oasis for SXSW,30437362,Christiana,,78747,30.131227491091835,-97.7911611125018,Private room,105,3,0,,,2,89,0,Austin,78747.0
711435993406948898,3865 Seagull's Cove - Perfect Coastal Getaway Near,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62043,-121.91449,Entire home/apt,245,30,0,,,45,334,0,Pacific Grove,93950.0
3280928,Onsen oasis + Portland's finest at your feet,1213257,Dayna,,Concordia,45.56312,-122.63596,Entire home/apt,232,2,408,2023-03-07,3.86,6,320,55,Portland,97211.0
7228375,"Welcoming 2 Bedroom, dog friendly",34867239,Jacci,,Creston-Kenilworth,45.49279,-122.63881,Entire home/apt,125,1,251,2022-12-30,2.7,1,46,26,Portland,97202.0
12474892,Ladies Dorm Room: Top Bunk,6108040,Monica-Sophie,,Powellhurst-Gilbert,45.501,-122.57116,Shared room,16,31,5,2021-09-09,0.06,3,356,0,Portland,97266.0
16323535,Stylish apartment in amazing location.,6628318,Marianne,,Overlook,45.56152,-122.69327,Entire home/apt,85,1,171,2021-04-17,2.35,1,295,0,Portland,97217.0
20035331,Decompress at a Soothing Suite in Shades of Elegant Gray,6416589,Adam And Arthur,,Boise,45.55267,-122.67805,Entire home/apt,88,1,574,2023-03-19,8.33,6,341,95,Portland,97227.0
23045959,"Cozy, eclectic home near downtown",7409866,Bryan,,South Portland,45.47045,-122.67251,Entire home/apt,103,1,79,2023-03-03,1.27,28,30,18,Portland,97239.0
27370420,Beautiful Downtown View Condo!,56493074,Gala,,Portland Downtown,45.51044,-122.67935,Entire home/apt,99,30,13,2022-11-21,0.27,1,248,3,Portland,97201.0
32895081,Peaceful and private,69201599,Lisa,,Hayhurst,45.48346,-122.72237,Private room,105,1,129,2023-03-18,2.78,1,299,36,Portland,97221.0
37617910,"★Spacious St Johns Hideout★Food/Bars, Shops, Parks",65785806,Charles,,St. Johns,45.58868,-122.74687,Entire home/apt,74,2,89,2023-03-19,2.04,1,68,32,Portland,97203.0
42018596,Your PDX Destination home away from home,233209184,Katy,,Alameda,45.54763,-122.63654,Entire home/apt,295,2,41,2022-10-02,1.09,1,105,15,Portland,97212.0
46475379,Modern Open Plan NoPo 2bd/2br - Entertaining Dream,3236630,Andrea,,University Park,45.58014,-122.72662,Entire home/apt,185,2,9,2022-11-28,0.43,1,0,5,Portland,97203.0
49463646,KEX Portland-ADA King Room Ensuite,325943042,KEX Portland,,Kerns,45.52344,-122.66242,Private room,162,1,5,2022-09-05,0.26,13,180,3,Portland,97232.0
51820614,Chic and Stunning Southeast Sanctuary w/ hot tub!,221421926,Descansa Property,,Mill Park,45.51897,-122.54665,Entire home/apt,188,1,44,2023-02-26,2.34,40,35,29,Portland,97216.0
54106742,Private Studio in Northeast Portland,20742544,Shari,,Grant Park,45.54082,-122.62544,Entire home/apt,118,2,26,2023-01-06,2.44,1,358,26,Portland,97212.0
607877967821907667,Walkable to restaurants - New modern farmhouse,31378984,Fern,,Vernon,45.561790466308594,-122.6509780883789,Entire home/apt,122,2,27,2023-02-26,2.65,2,226,27,Portland,97211.0
664690740524633440,Garden view 1-bedroom B&B with indoor fireplace.,1450850,Tanya,,Ashcreek,45.45344,-122.73488,Private room,89,1,7,2023-01-08,1.17,1,76,7,Portland,97219.0
719591978754836254,One bedroom in SE Portland w/plenty of local eats.,380829063,Hawe,,Brentwood-Darlington,45.47451,-122.59455,Private room,49,1,0,,,2,355,0,Portland,97206.0
772586702616210074,Casa Duende - Guest Suite Sellwood SE Portland,489883774,Catie,,Sellwood-Moreland Improvement League,45.46162,-122.65646,Entire home/apt,91,1,8,2023-03-19,2.7,1,36,8,Portland,97202.0
